BLAS `axpy` (level-1) Function
- data type: float
- vector size: 10000000 (38.15 MB)
- #SMs: 56
- #threads per block: 512
- #blocks: 86016
- Elasped time (axpy_h): 33.141186 (ms)
blockIdx.x: 65269, base: 8354432, len: 128
blockIdx.x: 65273, base: 8354944, len: 128
blockIdx.x: 65271, base: 8354688, len: 128
blockIdx.x: 65270, base: 8354560, len: 128
blockIdx.x: 65272, base: 8354816, len: 128
blockIdx.x: 65249, base: 8351872, len: 128
blockIdx.x: 65276, base: 8355328, len: 128
blockIdx.x: 65274, base: 8355072, len: 128
blockIdx.x: 65277, base: 8355456, len: 128
blockIdx.x: 65228, base: 8349184, len: 128
blockIdx.x: 65233, base: 8349824, len: 128
blockIdx.x: 65226, base: 8348928, len: 128
blockIdx.x: 65234, base: 8349952, len: 128
blockIdx.x: 65245, base: 8351360, len: 128
blockIdx.x: 65222, base: 8348416, len: 128
blockIdx.x: 65280, base: 8355840, len: 128
blockIdx.x: 65282, base: 8356096, len: 128
blockIdx.x: 65279, base: 8355712, len: 128
blockIdx.x: 65281, base: 8355968, len: 128
blockIdx.x: 65284, base: 8356352, len: 128
blockIdx.x: 65287, base: 8356736, len: 128
blockIdx.x: 65285, base: 8356480, len: 128
blockIdx.x: 65286, base: 8356608, len: 128
blockIdx.x: 65288, base: 8356864, len: 128
blockIdx.x: 65289, base: 8356992, len: 128
blockIdx.x: 65290, base: 8357120, len: 128
blockIdx.x: 65292, base: 8357376, len: 128
blockIdx.x: 65291, base: 8357248, len: 128
blockIdx.x: 65293, base: 8357504, len: 128
blockIdx.x: 65294, base: 8357632, len: 128
blockIdx.x: 65278, base: 8355584, len: 128
blockIdx.x: 65283, base: 8356224, len: 128
blockIdx.x: 65275, base: 8355200, len: 128
blockIdx.x: 65088, base: 8331264, len: 128
blockIdx.x: 65207, base: 8346496, len: 128
blockIdx.x: 65215, base: 8347520, len: 128
blockIdx.x: 65296, base: 8357888, len: 128
blockIdx.x: 65295, base: 8357760, len: 128
blockIdx.x: 65299, base: 8358272, len: 128
blockIdx.x: 65300, base: 8358400, len: 128
blockIdx.x: 65301, base: 8358528, len: 128
blockIdx.x: 65302, base: 8358656, len: 128
blockIdx.x: 65304, base: 8358912, len: 128
blockIdx.x: 65305, base: 8359040, len: 128
blockIdx.x: 65308, base: 8359424, len: 128
blockIdx.x: 65313, base: 8360064, len: 128
blockIdx.x: 65315, base: 8360320, len: 128
blockIdx.x: 65314, base: 8360192, len: 128
blockIdx.x: 65317, base: 8360576, len: 128
blockIdx.x: 65321, base: 8361088, len: 128
blockIdx.x: 65322, base: 8361216, len: 128
blockIdx.x: 65324, base: 8361472, len: 128
blockIdx.x: 65319, base: 8360832, len: 128
blockIdx.x: 65320, base: 8360960, len: 128
blockIdx.x: 65323, base: 8361344, len: 128
blockIdx.x: 65326, base: 8361728, len: 128
blockIdx.x: 65325, base: 8361600, len: 128
blockIdx.x: 65327, base: 8361856, len: 128
blockIdx.x: 65328, base: 8361984, len: 128
blockIdx.x: 65311, base: 8359808, len: 128
blockIdx.x: 65069, base: 8328832, len: 128
blockIdx.x: 65092, base: 8331776, len: 128
blockIdx.x: 65329, base: 8362112, len: 128
blockIdx.x: 65307, base: 8359296, len: 128
blockIdx.x: 65306, base: 8359168, len: 128
blockIdx.x: 65309, base: 8359552, len: 128
blockIdx.x: 65310, base: 8359680, len: 128
blockIdx.x: 65218, base: 8347904, len: 128
blockIdx.x: 65318, base: 8360704, len: 128
blockIdx.x: 65312, base: 8359936, len: 128
blockIdx.x: 65316, base: 8360448, len: 128
blockIdx.x: 65336, base: 8363008, len: 128
blockIdx.x: 65344, base: 8364032, len: 128
blockIdx.x: 65339, base: 8363392, len: 128
blockIdx.x: 65342, base: 8363776, len: 128
blockIdx.x: 65334, base: 8362752, len: 128
blockIdx.x: 65337, base: 8363136, len: 128
blockIdx.x: 65331, base: 8362368, len: 128
blockIdx.x: 65343, base: 8363904, len: 128
blockIdx.x: 65340, base: 8363520, len: 128
blockIdx.x: 65332, base: 8362496, len: 128
blockIdx.x: 65333, base: 8362624, len: 128
blockIdx.x: 65338, base: 8363264, len: 128
blockIdx.x: 65335, base: 8362880, len: 128
blockIdx.x: 65341, base: 8363648, len: 128
blockIdx.x: 65345, base: 8364160, len: 128
blockIdx.x: 65347, base: 8364416, len: 128
blockIdx.x: 65346, base: 8364288, len: 128
blockIdx.x: 65348, base: 8364544, len: 128
blockIdx.x: 65350, base: 8364800, len: 128
blockIdx.x: 65349, base: 8364672, len: 128
blockIdx.x: 65303, base: 8358784, len: 128
blockIdx.x: 65297, base: 8358016, len: 128
blockIdx.x: 65298, base: 8358144, len: 128
blockIdx.x: 65352, base: 8365056, len: 128
blockIdx.x: 65353, base: 8365184, len: 128
blockIdx.x: 65354, base: 8365312, len: 128
blockIdx.x: 65355, base: 8365440, len: 128
blockIdx.x: 65357, base: 8365696, len: 128
blockIdx.x: 65358, base: 8365824, len: 128
blockIdx.x: 65361, base: 8366208, len: 128
blockIdx.x: 65363, base: 8366464, len: 128
blockIdx.x: 65364, base: 8366592, len: 128
blockIdx.x: 65369, base: 8367232, len: 128
blockIdx.x: 65374, base: 8367872, len: 128
blockIdx.x: 65370, base: 8367360, len: 128
blockIdx.x: 65375, base: 8368000, len: 128
blockIdx.x: 65371, base: 8367488, len: 128
blockIdx.x: 65377, base: 8368256, len: 128
blockIdx.x: 65366, base: 8366848, len: 128
blockIdx.x: 65389, base: 8369792, len: 128
blockIdx.x: 65392, base: 8370176, len: 128
blockIdx.x: 65393, base: 8370304, len: 128
blockIdx.x: 65394, base: 8370432, len: 128
blockIdx.x: 65382, base: 8368896, len: 128
blockIdx.x: 65367, base: 8366976, len: 128
blockIdx.x: 65368, base: 8367104, len: 128
blockIdx.x: 65388, base: 8369664, len: 128
blockIdx.x: 65381, base: 8368768, len: 128
blockIdx.x: 65385, base: 8369280, len: 128
blockIdx.x: 65383, base: 8369024, len: 128
blockIdx.x: 65384, base: 8369152, len: 128
blockIdx.x: 65386, base: 8369408, len: 128
blockIdx.x: 65400, base: 8371200, len: 128
blockIdx.x: 65401, base: 8371328, len: 128
blockIdx.x: 65376, base: 8368128, len: 128
blockIdx.x: 65379, base: 8368512, len: 128
blockIdx.x: 65395, base: 8370560, len: 128
blockIdx.x: 65330, base: 8362240, len: 128
blockIdx.x: 65396, base: 8370688, len: 128
blockIdx.x: 65356, base: 8365568, len: 128
blockIdx.x: 65351, base: 8364928, len: 128
blockIdx.x: 65397, base: 8370816, len: 128
blockIdx.x: 65403, base: 8371584, len: 128
blockIdx.x: 65404, base: 8371712, len: 128
blockIdx.x: 65405, base: 8371840, len: 128
blockIdx.x: 65365, base: 8366720, len: 128
blockIdx.x: 65360, base: 8366080, len: 128
blockIdx.x: 65406, base: 8371968, len: 128
blockIdx.x: 65407, base: 8372096, len: 128
blockIdx.x: 65372, base: 8367616, len: 128
blockIdx.x: 65362, base: 8366336, len: 128
blockIdx.x: 65410, base: 8372480, len: 128
blockIdx.x: 65413, base: 8372864, len: 128
blockIdx.x: 65411, base: 8372608, len: 128
blockIdx.x: 65414, base: 8372992, len: 128
blockIdx.x: 65415, base: 8373120, len: 128
blockIdx.x: 65412, base: 8372736, len: 128
blockIdx.x: 65416, base: 8373248, len: 128
blockIdx.x: 65417, base: 8373376, len: 128
blockIdx.x: 65419, base: 8373632, len: 128
blockIdx.x: 65408, base: 8372224, len: 128
blockIdx.x: 65409, base: 8372352, len: 128
blockIdx.x: 65359, base: 8365952, len: 128
blockIdx.x: 65418, base: 8373504, len: 128
blockIdx.x: 65399, base: 8371072, len: 128
blockIdx.x: 65378, base: 8368384, len: 128
blockIdx.x: 65402, base: 8371456, len: 128
blockIdx.x: 65387, base: 8369536, len: 128
blockIdx.x: 65391, base: 8370048, len: 128
blockIdx.x: 65380, base: 8368640, len: 128
blockIdx.x: 65390, base: 8369920, len: 128
blockIdx.x: 65373, base: 8367744, len: 128
blockIdx.x: 65398, base: 8370944, len: 128
blockIdx.x: 65420, base: 8373760, len: 128
blockIdx.x: 65421, base: 8373888, len: 128
blockIdx.x: 65422, base: 8374016, len: 128
blockIdx.x: 65423, base: 8374144, len: 128
blockIdx.x: 65431, base: 8375168, len: 128
blockIdx.x: 65433, base: 8375424, len: 128
blockIdx.x: 65425, base: 8374400, len: 128
blockIdx.x: 65432, base: 8375296, len: 128
blockIdx.x: 65434, base: 8375552, len: 128
blockIdx.x: 65436, base: 8375808, len: 128
blockIdx.x: 65437, base: 8375936, len: 128
blockIdx.x: 65427, base: 8374656, len: 128
blockIdx.x: 65428, base: 8374784, len: 128
blockIdx.x: 65438, base: 8376064, len: 128
blockIdx.x: 65439, base: 8376192, len: 128
blockIdx.x: 65440, base: 8376320, len: 128
blockIdx.x: 65441, base: 8376448, len: 128
blockIdx.x: 65442, base: 8376576, len: 128
blockIdx.x: 65444, base: 8376832, len: 128
blockIdx.x: 65445, base: 8376960, len: 128
blockIdx.x: 65443, base: 8376704, len: 128
blockIdx.x: 65446, base: 8377088, len: 128
blockIdx.x: 65447, base: 8377216, len: 128
blockIdx.x: 65448, base: 8377344, len: 128
blockIdx.x: 65449, base: 8377472, len: 128
blockIdx.x: 65450, base: 8377600, len: 128
blockIdx.x: 65451, base: 8377728, len: 128
blockIdx.x: 65452, base: 8377856, len: 128
blockIdx.x: 65426, base: 8374528, len: 128
blockIdx.x: 65429, base: 8374912, len: 128
blockIdx.x: 65424, base: 8374272, len: 128
blockIdx.x: 65430, base: 8375040, len: 128
blockIdx.x: 65435, base: 8375680, len: 128
blockIdx.x: 65453, base: 8377984, len: 128
blockIdx.x: 65454, base: 8378112, len: 128
blockIdx.x: 65458, base: 8378624, len: 128
blockIdx.x: 65455, base: 8378240, len: 128
blockIdx.x: 65457, base: 8378496, len: 128
blockIdx.x: 65456, base: 8378368, len: 128
blockIdx.x: 65459, base: 8378752, len: 128
blockIdx.x: 65460, base: 8378880, len: 128
blockIdx.x: 65461, base: 8379008, len: 128
blockIdx.x: 65464, base: 8379392, len: 128
blockIdx.x: 65465, base: 8379520, len: 128
blockIdx.x: 65463, base: 8379264, len: 128
blockIdx.x: 65466, base: 8379648, len: 128
blockIdx.x: 65469, base: 8380032, len: 128
blockIdx.x: 65467, base: 8379776, len: 128
blockIdx.x: 65468, base: 8379904, len: 128
blockIdx.x: 65462, base: 8379136, len: 128
blockIdx.x: 65471, base: 8380288, len: 128
blockIdx.x: 65470, base: 8380160, len: 128
blockIdx.x: 65472, base: 8380416, len: 128
blockIdx.x: 65473, base: 8380544, len: 128
blockIdx.x: 65476, base: 8380928, len: 128
blockIdx.x: 65478, base: 8381184, len: 128
blockIdx.x: 65482, base: 8381696, len: 128
blockIdx.x: 65479, base: 8381312, len: 128
blockIdx.x: 65474, base: 8380672, len: 128
blockIdx.x: 65477, base: 8381056, len: 128
blockIdx.x: 65475, base: 8380800, len: 128
blockIdx.x: 65483, base: 8381824, len: 128
blockIdx.x: 65480, base: 8381440, len: 128
blockIdx.x: 65481, base: 8381568, len: 128
blockIdx.x: 65484, base: 8381952, len: 128
blockIdx.x: 65486, base: 8382208, len: 128
blockIdx.x: 65485, base: 8382080, len: 128
blockIdx.x: 65487, base: 8382336, len: 128
blockIdx.x: 65488, base: 8382464, len: 128
blockIdx.x: 65491, base: 8382848, len: 128
blockIdx.x: 65492, base: 8382976, len: 128
blockIdx.x: 65493, base: 8383104, len: 128
blockIdx.x: 65499, base: 8383872, len: 128
blockIdx.x: 65494, base: 8383232, len: 128
blockIdx.x: 65498, base: 8383744, len: 128
blockIdx.x: 65495, base: 8383360, len: 128
blockIdx.x: 65496, base: 8383488, len: 128
blockIdx.x: 65500, base: 8384000, len: 128
blockIdx.x: 65497, base: 8383616, len: 128
blockIdx.x: 65489, base: 8382592, len: 128
blockIdx.x: 65490, base: 8382720, len: 128
blockIdx.x: 65501, base: 8384128, len: 128
